Addresses,Prices,Beds,Baths,Square Footage,Zip Code,State,City,Street Address
"4849 Longmeadow Dr Bessemer, AL 35022","$1,650/mo",3bd,2ba,"1,486 sqft",35022,AL,Bessemer,4849 Longmeadow Dr
"20336 Glacier Park Cir Eagle River, AK 99577","$2,400/mo",3bd,3ba,"2,028 sqft",99577,AK,Eagle,"20336 Glacier Park Cir  River, AK 99577"
"8560 Blackberry St   #2 Anchorage, AK 99502","$1,295/mo",2bd,1ba,900 sqft,99502,AK,Anchorage,8560 Blackberry St   #2
"1385 W  University Ave  #6-244 Flagstaff, AZ 86001","$1,800/mo",2bd,2ba,906 sqft,86001,AZ,Flagstaff,1385 W  University Ave  #6-244
"Callia Phoenix, AZ 85013","$1,595 - $4,540/mo",Studio-3bd,1-2ba,No Data,85013,AZ,Phoenix,Callia
"MAA Fountainhead Tempe, AZ 85282","$1,473 - $2,028/mo",1-2bd,1-2ba,No Data,85282,AZ,Tempe,MAA Fountainhead
"Sage Stone at Arrowhead Apartments Glendale, AZ 85308","$1,509 - $2,129/mo",1-3bd,1-2ba,No Data,85308,AZ,Glendale,Sage Stone at Arrowhead Apartments
"3485 S  162nd Ln Goodyear, AZ 85338","$1,995/mo",3bd,2ba,"1,454 sqft",85338,AZ,Goodyear,3485 S  162nd Ln
"605 E  A St Mohave Valley, AZ 86440",$950/mo,1bd,1ba,696 sqft,86440,AZ,Mohave Valley,605 E  A St
"Agave 350 Tucson, AZ 85701","$1,250 - $1,999/mo",1-2bd,1-2ba,No Data,85701,AZ,Tucson,Agave 350
"630-650 E. Elm St. Tucson, AZ 85705","$1,300/mo",2bd,2ba,No Data,85705,AZ,Tucson,630-650 E. Elm St.
"916 N  Camino Seco #F Tucson, AZ 85710",$895/mo,1bd,1ba,470 sqft,85710,AZ,Tucson,916 N  Camino Seco #F
"3303 N  Tyndall Ave  #1 Tucson, AZ 85719","$1,675/mo",3bd,2ba,"1,148 sqft",85719,AZ,Tucson,3303 N  Tyndall Ave  #1
"42980 W  Blazen Trl Maricopa, AZ 85138","$1,650/mo",3bd,2ba,"1,533 sqft",85138,AZ,Maricopa,42980 W  Blazen Trl
"445 E  Kelsi Ave San Tan Valley, AZ 85140","$1,975/mo",4bd,2.5ba,"2,435 sqft",85140,AZ,San Tan Valley,445 E  Kelsi Ave
"44845 W  Sage Brush Dr Maricopa, AZ 85139","$1,804/mo",4bd,2ba,"1,745 sqft",85139,AZ,Maricopa,44845 W  Sage Brush Dr
"4439 W  Maggie Dr San Tan Valley, AZ 85142","$2,500/mo",5bd,3ba,"2,928 sqft",85142,AZ,San Tan Valley,4439 W  Maggie Dr
"3330 Chimney Rock Ln Sedona, AZ 86336","$3,250/mo",3bd,2ba,"1,640 sqft",86336,AZ,Sedona,3330 Chimney Rock Ln
"12599 S  Cortez Ave Yuma, AZ 85365","$1,600/mo",4bd,2ba,"2,280 sqft",85365,AZ,Yuma,12599 S  Cortez Ave
"8 Windermere Ln Bella Vista, AR 72715","$2,600/mo",3bd,2ba,"1,920 sqft",72715,AR,Bella Vista,8 Windermere Ln
"1818 Burns Cir  #X Jonesboro, AR 72404",$750/mo,2bd,1ba,900 sqft,72404,AR,Jonesboro,1818 Burns Cir  #X
"1720 Isabella Rd Conway, AR 72032","$1,295/mo",4bd,2ba,"1,476 sqft",72032,AR,Conway,1720 Isabella Rd
"142 Blue Heron Dr Hot Springs, AR 71913","$4,000/mo",4bd,3ba,"4,200 sqft",71913,AR,Hot Springs,142 Blue Heron Dr
"The Villa at River Pointe Drive Maumelle, AR 72113","$1,085 - $1,617/mo",1-2bd,1-2ba,No Data,72113,AR,Maumelle,The Villa at River Pointe Drive
"5005 Gum Springs Rd Little Rock, AR 72209","$1,025/mo",3bd,1.5ba,"1,059 sqft",72209,AR,Little Rock,5005 Gum Springs Rd
"11309 Jamestown Dr Little Rock, AR 72211","$1,850/mo",3bd,2.5ba,"2,000 sqft",72211,AR,Little Rock,11309 Jamestown Dr
"14920 Parkway Meadows Dr Alexander, AR 72002","$1,795/mo",4bd,2ba,No Data,72002,AR,Alexander,14920 Parkway Meadows Dr
"360 Captain Hopkins St Prairie Grove, AR 72753","$1,650/mo",3bd,2ba,"1,511 sqft",72753,AR,Prairie Grove,360 Captain Hopkins St
"922 W  15th St Fayetteville, AR 72701","$1,100/mo",2bd,2ba,980 sqft,72701,AR,Fayetteville,922 W  15th St
"MacArthur Commons Oakland, CA 94609","$1,968 - $3,666/mo",Studio-2bd,1-2ba,No Data,94609,CA,Oakland,MacArthur Commons
"24072 and 24074 Park Street Hayward, CA 94541","$1,900/mo",1bd,1ba,No Data,94541,CA,Hayward,24072 and 24074 Park Street
"3328 Courtland Ave Oakland, CA 94619","$2,070/mo",1bd,1ba,500 sqft,94619,CA,Oakland,3328 Courtland Ave
"2401 Scenic Ave Oakland, CA 94602","$2,550/mo",2bd,1ba,800 sqft,94602,CA,Oakland,2401 Scenic Ave
"CA-0425 2351 Washington Avenue - G Oroville, CA 95966",$595/mo,Studio,0ba,No Data,95966,CA,Oroville,CA-0425 2351 Washington Avenue - G
"181 Bentwater Loop Chico, CA 95973","$2,850/mo",5bd,3.5ba,"2,671 sqft",95973,CA,Chico,181 Bentwater Loop
"Bel Air San Ramon, CA 94582","$1,949 - $3,229/mo",Studio-2bd,1-2ba,No Data,94582,CA,San Ramon,Bel Air
"335 Pebble Beach Dr Brentwood, CA 94513","$3,650/mo",4bd,3ba,"3,657 sqft",94513,CA,Brentwood,335 Pebble Beach Dr
"1515 Bissell Ave Richmond, CA 94801","$1,950/mo",2bd,1ba,909 sqft,94801,CA,Richmond,1515 Bissell Ave
"4474 Appian Way  #18 El Sobrante, CA 94803","$2,250/mo",2bd,1ba,720 sqft,94803,CA,El Sobrante,4474 Appian Way  #18
"3900 Pioneer Trl South Lake Tahoe, CA 96150","$1,210/mo",1bd,1ba,No Data,96150,CA,South Lake Tahoe,3900 Pioneer Trl
"9718 N  Sierra Vista Ave Fresno, CA 93720","$2,400/mo",4bd,2ba,"1,870 sqft",93720,CA,Fresno,9718 N  Sierra Vista Ave
"3080 Peach Ave  #127 Clovis, CA 93612","$1,400/mo",2bd,1ba,914 sqft,93612,CA,Clovis,3080 Peach Ave  #127
"9831 N  Price Ave Fresno, CA 93720","$2,095/mo",3bd,2ba,"1,458 sqft",93720,CA,Fresno,9831 N  Price Ave
"134 S  Locust St   #C Ridgecrest, CA 93555","$1,275/mo",3bd,3ba,"1,100 sqft",93555,CA,Ridgecrest,134 S  Locust St   #C
"9515 Degranvelle Dr Bakersfield, CA 93311","$3,500/mo",3bd,2ba,"1,680 sqft",93311,CA,Bakersfield,9515 Degranvelle Dr
"5224 Blanco Dr Bakersfield, CA 93307","$2,595/mo",4bd,3ba,"2,170 sqft",93307,CA,Bakersfield,5224 Blanco Dr
"232 N  Lemoore Ave  #18A Lemoore, CA 93245","$1,850/mo",3bd,2.5ba,"1,388 sqft",93245,CA,Lemoore,232 N   Ave  #18A
"The Studio North Hollywood, CA 91601","$3,450/mo",Studio,1ba,No Data,91601,CA,,
"Cosmo Lofts Los Angeles, CA 90028","$2,925 - $4,850/mo",Studio,1ba,No Data,90028,CA,Los Angeles,Cosmo Lofts
"The Cleo Los Angeles, CA 90020","$2,007 - $2,870/mo",1-2bd,1-2ba,No Data,90020,CA,Los Angeles,The Cleo
"The Esquire Los Angeles, CA 90057","$1,825/mo",1bd,1ba,No Data,90057,CA,Los Angeles,The Esquire
"322 W  Wilson St   #101 Madera, CA 93638","$1,495/mo",3bd,2ba,No Data,93638,CA,Madera,322 W  Wilson St   #101
"120 Sequoia Dr San Anselmo, CA 94960","$3,850/mo",2bd,2ba,"1,277 sqft",94960,CA,San Anselmo,120 Sequoia Dr
"Bella Creek Rohnert Park, CA 94928","$1,950 - $3,600/mo",Studio-3bd,1-2ba,No Data,94928,CA,Rohnert Park,Bella Creek
"713 Delaware Ave  #B Los Banos, CA 93635","$1,595/mo",2bd,1ba,736 sqft,93635,CA,Los Banos,713 Delaware Ave  #B
"350ram Monterey, CA 93940","$1,875/mo",1bd,1ba,No Data,93940,CA,Monterey,350ram
"Address Not Disclosed Royal Oaks, CA 95076","$7,500/mo",3bd,3ba,"2,072 sqft",95076,CA,,
"1295 Rockland Dr Saint Helena, CA 94574","$32,000/mo",5bd,4.5ba,"5,217 sqft",94574,CA,,
"Santa Maria Apartment Homes Irvine, CA 92606","$3,160 - $3,835/mo",2-3bd,2ba,No Data,92606,CA,Irvine,Santa Maria Apartment Homes
"Huntington Vista Huntington Beach, CA 92646","$2,243 - $3,291/mo",1-3bd,1-2.5ba,No Data,92646,CA,Huntington Beach,Huntington Vista
"93 Pelican Ln Irvine, CA 92618","$9,500/mo",4bd,4.5ba,"3,396 sqft",92618,CA,Irvine,93 Pelican Ln
"Address Not Disclosed Dana Point, CA 92629","$15,000/mo",5bd,5ba,"5,438 sqft",92629,CA,Dana Point,Address Not Disclosed
"193 Pleasant Ave Auburn, CA 95603","$1,800/mo",1bd,1ba,700 sqft,95603,CA,Auburn,193 Pleasant Ave
"1467 Barn Valley Ct Lincoln, CA 95648","$2,900/mo",2bd,2ba,"1,595 sqft",95648,CA,Lincoln,1467 Barn Valley Ct
"Canyon Terrace Apartments Folsom, CA 95630","$1,850 - $2,102/mo",1-2bd,1-2ba,No Data,95630,CA,Folsom,Canyon Terrace Apartments
"50657 Calle Carrasco Pkwy Coachella, CA 92236","$2,685/mo",4bd,2ba,"1,959 sqft",92236,CA,Coachella,50657 Calle Carrasco Pkwy
"44704 Mumm St Temecula, CA 92592","$3,795/mo",6bd,3ba,"2,726 sqft",92592,CA,Temecula,44704 Mumm St
"52727 Pine Cove Rd Idyllwild, CA 92549","$1,799/mo",2bd,1ba,"1,000 sqft",92549,CA,,
"10911 Mendoza Rd Moreno Valley, CA 92557","$2,950/mo",5bd,3ba,"2,286 sqft",92557,CA,Moreno Valley,10911 Mendoza Rd
"800J Lofts Sacramento, CA 95814","$2,130 - $2,844/mo",Studio-2bd,1-2ba,No Data,95814,CA,Sacramento,800J Lofts
"955 Johnfer Way Sacramento, CA 95831","$2,125/mo",2bd,2ba,No Data,95831,CA,Sacramento,955 Johnfer Way
"7665 Par Pkwy Sacramento, CA 95828","$1,795/mo",2bd,1ba,940 sqft,95828,CA,Sacramento,7665 Par Pkwy
"2552 Warrego Way Sacramento, CA 95826","$1,895/mo",3bd,2ba,"1,055 sqft",95826,CA,Sacramento,2552 Warrego Way
"The Paseos at Montclair North Montclair, CA 91763","$2,013 - $2,171/mo",Studio-1bd,1ba,No Data,91763,CA,Montclair,The Paseos at  North
"7637 Pinot Pl Rancho Cucamonga, CA 91739","$3,600/mo",5bd,2.5ba,"2,286 sqft",91739,CA,Rancho Cucamonga,7637 Pinot Pl
"7001 Church Ave Highland, CA 92346","$1,850/mo",2bd,1ba,975 sqft,92346,CA,Highland,7001 Church Ave
"1051 Springfield St   #A Upland, CA 91786","$3,250/mo",3bd,2ba,"1,200 sqft",91786,CA,Upland,1051 Springfield St   #A
"Marbella Apartment Homes Carlsbad, CA 92010","$2,710 - $3,610/mo",1-2bd,1-2ba,No Data,92010,CA,Carlsbad,Marbella Apartment Homes
"Park View Hillcrest San Diego, CA 92103","$2,495/mo",1bd,1ba,No Data,92103,CA,San Diego,Park View Hillcrest
"4407 Logan Ave  #2 San Diego, CA 92113","$1,800/mo",Studio,1ba,450 sqft,92113,CA,San Diego,4407 Logan Ave  #2
"114 Madison Ave  #C Chula Vista, CA 91910","$2,850/mo",2bd,1ba,800 sqft,91910,CA,Chula Vista,114 Madison Ave  #C
"One Pine Street San Francisco, CA 94111","$3,667 - $5,600/mo",1-2bd,1-2ba,No Data,94111,CA,San Francisco,One Pine Street
"2530 Fillmore St   #B San Francisco, CA 94115","$5,500/mo",2bd,2ba,950 sqft,94115,CA,San Francisco,2530 Fillmore St   #B
"1754 Mission St   #2 San Francisco, CA 94103","$2,350/mo",1bd,1ba,464 sqft,94103,CA,San Francisco,1754 Mission St   #2
"2130-2134 Mason St   #2130 San Francisco, CA 94133","$6,200/mo",3bd,2ba,"1,300 sqft",94133,CA,San Francisco,2130-2134 Mason St   #2130
"Address Not Disclosed Stockton, CA 95207","$3,200/mo",3bd,2ba,"1,638 sqft",95207,CA,Stockton,Address Not Disclosed
"2 bed, 1.0 bath, 961 sqft, $1,800 Stockton, CA 95204","$1,800/mo",2bd,1ba,No Data,95204,CA,Stockton,"2 bed, 1.0 bath, 961 sqft, $1,800"
"1577 S  Sherman St Mountain House, CA 95391","$1,600/mo",1bd,1ba,400 sqft,95391,CA,Mountain House,1577 S  Sherman St
"664 Church St San Luis Obispo, CA 93401","$3,600/mo",3bd,1ba,No Data,93401,CA,San Luis Obispo,664 Church St
"Franklin Street Apartment Homes Redwood City, CA 94063","$3,845 - $5,105/mo",2bd,2ba,No Data,94063,CA,Redwood City,Franklin Street Apartment Homes
"345 California Ave Moss Beach, CA 94038","$2,450/mo",1bd,1ba,550 sqft,94038,CA,Moss Beach,345 California Ave
"1707 Altschul Ave Menlo Park, CA 94025","$6,000/mo",3bd,3ba,"1,640 sqft",94025,CA,Menlo Park,1707 Altschul Ave
"2140 Oakwood Dr   #B Palo Alto, CA 94303","$2,000/mo",Studio,1ba,400 sqft,94303,CA,Palo Alto,2140 Oakwood Dr   #B
"3375 Foothill Rd #922 Carpinteria, CA 93013","$4,700/mo",2bd,2ba,No Data,93013,CA,Carpinteria,3375 Foothill Rd #922
"1593 N  Refugio Rd Santa Ynez, CA 93460","$4,500/mo",3bd,2ba,"1,200 sqft",93460,CA,Santa Ynez,1593 N  Refugio Rd
"Plaza Riviera Santa Barbara, CA 93103","$3,028/mo",Studio,1ba,No Data,93103,CA,Santa Barbara,Plaza Riviera
"Element Apartments Sunnyvale, CA 94086","$2,975/mo",2bd,1ba,No Data,94086,CA,Sunnyvale,Element Apartments
"3932 Rivermark Plz  #3-ID834 Santa Clara, CA 95054","$4,490/mo",1bd,1ba,853 sqft,95054,CA,Santa Clara,3932 Rivermark Plz  #3-ID834
"2982 Magliocco Dr   #11 San Jose, CA 95128","$2,095/mo",1bd,1ba,No Data,95128,CA,San Jose,2982 Magliocco Dr   #11
"1164 McKay Dr San Jose, CA 95131","$4,697/mo",4bd,4ba,"2,170 sqft",95131,CA,San Jose,1164 McKay Dr
"106 Campbell St   #3 Santa Cruz, CA 95060","$3,300/mo",3bd,2ba,"1,200 sqft",95060,CA,Santa Cruz,106 Campbell St   #3
"1810 Continental St Redding, CA 96001","$1,585/mo",3bd,2ba,"1,504 sqft",96001,CA,Redding,1810 Continental St
"1617 Valle Vista Ave Vallejo, CA 94589","$1,659/mo",2bd,1ba,800 sqft,94589,CA,Vallejo,1617 Valle Vista Ave
"358 Tabor Ave  #523 Fairfield, CA 94533","$2,300/mo",2bd,2.5ba,"1,269 sqft",94533,CA,Fairfield,358 Tabor Ave  #523
"540 Fano Ln Sonoma, CA 95476","$10,000/mo",3bd,2ba,"1,644 sqft",95476,CA,Sonoma,540 Fano Ln
"600 Mission Blvd #12 Santa Rosa, CA 95409","$1,895/mo",2bd,1ba,No Data,95409,CA,Santa Rosa,600 Mission Blvd #12
"1118 Strawbridge Dr Newman, CA 95360","$2,300/mo",3bd,2.5ba,"2,300 sqft",95360,CA,Newman,1118 Strawbridge Dr
"24140 Craig Creek Ln   #B Red Bluff, CA 96080","$1,295/mo",2bd,1ba,"8,002 sqft",96080,CA,Red Bluff,24140 Craig Creek Ln   #B
"300 W  Tulare Ave Visalia, CA 93277","$1,250/mo",2bd,1ba,800 sqft,93277,CA,Visalia,300 W  Tulare Ave
"413 Rancho Dr Ventura, CA 93003","$3,000/mo",2bd,1ba,880 sqft,93003,CA,,
"3076 Calle De Marejada Camarillo, CA 93010","$24,900/mo",6bd,5.5ba,"5,912 sqft",93010,CA,Camarillo,3076 Calle De Marejada
"12317 Willow Hill Dr Moorpark, CA 93021","$3,995/mo",4bd,3ba,"2,701 sqft",93021,CA,Moorpark,12317 Willow Hill Dr
"614 Adams St   #3 Davis, CA 95616","$2,100/mo",3bd,1ba,No Data,95616,CA,Davis,614 Adams St   #3
"Madison Park Denver, CO 80233","$1,415 - $2,560/mo",Studio-3bd,1-2ba,No Data,80233,CO,Denver,Madison Park
"11287 Newark Ct Commerce City, CO 80022","$2,845/mo",4bd,2.5ba,"2,928 sqft",80022,CO,Commerce City,11287 Newark Ct
"Address Not Disclosed Commerce City, CO 80022","$3,080/mo",3bd,3ba,"2,181 sqft",80022,CO,Commerce City,Address Not Disclosed
"Forest Manor Denver, CO 80246","$1,250 - $1,495/mo",1-2bd,1ba,No Data,80246,CO,Denver,Forest Manor
"5677 Park Place Ave #206D Greenwood Village, CO 80111","$1,995/mo",1bd,2ba,967 sqft,80111,CO,Greenwood Village,5677 Park Place Ave #206D
"3581 S  Olathe St Aurora, CO 80013","$2,395/mo",4bd,2ba,"1,732 sqft",80013,CO,Aurora,3581 S  Olathe St
"6549 S  Clayton St Centennial, CO 80121","$1,380/mo",1bd,1ba,850 sqft,80121,CO,Centennial,6549 S  Clayton St
"2990 Shadow Creek Dr #308 Boulder, CO 80303","$3,500/mo",3bd,3ba,"1,400 sqft",80303,CO,Boulder,2990 Shadow Creek Dr #308
"450 Canadian Crossing Dr Longmont, CO 80504","$3,300/mo",3bd,2.5ba,"1,754 sqft",80504,CO,Longmont,450 Canadian Crossing Dr
"194 Artesian Dr   #11 Eldorado Springs, CO 80025","$1,650/mo",1bd,1ba,462 sqft,80025,CO,Eldorado Springs,194 Artesian Dr   #11
"Le Boulder Buddha Boulder, CO 80303","$4,900 - $4,960/mo",4bd,2-3ba,No Data,80303,CO,Boulder,Le  Buddha
"1175 Golden Eagle Trl Crestone, CO 81131","$6,000/mo",2bd,2ba,"1,358 sqft",81131,CO,Golden,"1175  Eagle Trl Crestone, CO 81131"
"Airie Denver, CO 80247","$1,625 - $3,125/mo",Studio-3bd,1-3ba,No Data,80247,CO,Denver,Airie
"2733 Java Ct Denver, CO 80211","$3,400/mo",4bd,2ba,"2,048 sqft",80211,CO,Denver,2733 Java Ct
"2544 18th St Denver, CO 80211","$3,850/mo",3bd,2ba,"1,466 sqft",80211,CO,Denver,2544 18th St
"1 E  Bayaud Ave  #10 Denver, CO 80209","$1,381/mo",1bd,1ba,550 sqft,80209,CO,Denver,1 E  Bayaud Ave  #10
"21994 E  Bailey Pl Aurora, CO 80016","$4,600/mo",3bd,2ba,"2,403 sqft",80016,CO,Aurora,21994 E  Bailey Pl
"3338 Youngheart Way Castle Rock, CO 80109","$3,800/mo",3bd,2.5ba,"2,961 sqft",80109,CO,Castle Rock,3338 Youngheart Way
"1303 Soaring Eagle Dr Colorado Springs, CO 80915","$1,650/mo",2bd,1.5ba,960 sqft,80915,CO,Colorado Springs,1303 Soaring Eagle Dr
"10332 Wrangell Cir Colorado Springs, CO 80924","$3,500/mo",5bd,4ba,"3,176 sqft",80924,CO,Colorado Springs,10332 Wrangell Cir
"3835 Pony Tracks Dr Colorado Springs, CO 80922","$2,150/mo",4bd,3.5ba,"2,271 sqft",80922,CO,Colorado Springs,3835 Pony Tracks Dr
"3271 Bewildering Hts Colorado Springs, CO 80908","$2,295/mo",3bd,2.5ba,"1,719 sqft",80908,CO,Colorado Springs,3271 Bewildering Hts
"37 Kingfisher Poin #37 Fraser, CO 80442","$4,000/mo",3bd,2ba,"1,250 sqft",80442,CO,Fraser,37 Kingfisher Poin #37
"293 S  Hoyt St   #301 Denver, CO 80226","$2,250/mo",3bd,2ba,"1,522 sqft",80226,CO,Denver,293 S  Hoyt St   #301
"7289 Union Ct Arvada, CO 80005","$2,895/mo",3bd,2ba,"1,500 sqft",80005,CO,Arvada,7289 Union Ct
"8050 Iris St Arvada, CO 80005","$4,000/mo",5bd,4ba,"3,283 sqft",80005,CO,Arvada,8050 Iris St
"473 County Road 233 Durango, CO 81301","$1,975/mo",3bd,2ba,"1,302 sqft",81301,CO,Durango,473 County Road 233
"2530 Wapiti Rd Fort Collins, CO 80525","$2,295/mo",4bd,2ba,"1,976 sqft",80525,CO,Fort Collins,2530 Wapiti Rd
"1012 Davidson Dr   #A Fort Collins, CO 80526","$1,750/mo",3bd,2.5ba,"1,200 sqft",80526,CO,Fort Collins,1012 Davidson Dr   #A
"20310 W  US Highway 160 Hwy  #66F Durango, CO 81303","$2,200/mo",2bd,2.5ba,"1,269 sqft",81303,CO,Durango,20310 W  US Highway 160 Hwy  #66F
"77 Wood Rd   #607 Snowmass Village, CO 81615","$60,000/mo",4bd,4ba,"2,626 sqft",81615,CO,Snowmass Village,77 Wood Rd   #607
"508 Minnequa Ave  #3 Pueblo, CO 81004",$850/mo,1bd,1ba,400 sqft,81004,CO,Pueblo,508 Minnequa Ave  #3
"Westlake Apartments Greeley, CO 80634","$1,375 - $1,385/mo",2bd,1ba,No Data,80634,CO,Greeley,Westlake Apartments
"Address Not Disclosed Greeley, CO 80634","$1,050/mo",2bd,1ba,850 sqft,80634,CO,Greeley,Address Not Disclosed
"20 Chestnut St   #B Greenwich, CT 06830","$2,500/mo",1bd,1ba,600 sqft,06830,CT,,
"58 Alberts Hill Rd Sandy Hook, CT 06482","$3,395/mo",3bd,2ba,"2,224 sqft",06482,CT,Sandy Hook,58 Alberts Hill Rd
"123 Pine St #1 Greenwich, CT 06830","$2,795/mo",2bd,1ba,"1,000 sqft",06830,CT,,
"73 Sylvan Rd N Westport, CT 06880","$9,995/mo",4bd,4.5ba,"3,561 sqft (on 1.66 acres)",06880,CT,,
"241 Asylum St   #401 Hartford, CT 06103","$2,000/mo",2bd,1ba,"1,750 sqft",06103,CT,Hartford,241 Asylum St   #401
"37 Kenyon St Hartford, CT 06105","$1,195/mo",1bd,1ba,750 sqft,06105,CT,Hartford,37 Kenyon St
"255 Allen St   #8 New Britain, CT 06053","$1,325/mo",2bd,1.5ba,"1,250 sqft",06053,CT,New Britain,255 Allen St   #8
"130 Church St Torrington, CT 06790","$1,250/mo",2bd,1ba,600 sqft,06790,CT,Torrington,130 Church St
"Halstead Milford Milford, CT 06460","$1,895 - $2,750/mo",1-2bd,1-2ba,No Data,06460,CT,,
"137 Central Ave  #2 Waterbury, CT 06702","$1,350/mo",3bd,1ba,"1,000 sqft",06702,CT,Waterbury,137 Central Ave  #2
"38 Foxon St   #2 New Haven, CT 06513","$2,100/mo",3bd,1ba,"1,000 sqft",06513,CT,New Haven,38 Foxon St   #2
"92 Limewood Ave #B12 Branford, CT 06405","$2,500/mo",2bd,1.5ba,"1,429 sqft",06405,CT,,
"7 Liberty St   #3 Pawcatuck, CT 06379","$1,850/mo",3bd,1ba,"1,500 sqft",06379,CT,Pawcatuck,7 Liberty St   #3
"62 Perry Hill Rd   #2B Ashford, CT 06278","$1,700/mo",2bd,1ba,No Data,06278,CT,,
"203 Porter St Wilmington, DE 19805","$1,200/mo",2bd,1ba,850 sqft,19805,DE,Wilmington,203 Porter St
"28751 Valley View Ln Lewes, DE 19958","$2,350/mo",3bd,2ba,"1,810 sqft",19958,DE,Lewes,28751 Valley View Ln
"The Statesman Washington, DC 20006","$1,765 - $2,639/mo",Studio-1bd,1ba,No Data,20006,DC,Washington,The Statesman
"Embassy Tower Apartments Washington, DC 20009","$1,678 - $3,199/mo",Studio-2bd,1ba,No Data,20009,DC,Washington,Embassy Tower Apartments
"1500 Pennsylvania Ave SE #201 Washington, DC 20003","$2,500/mo",2bd,1ba,687 sqft,20003,DC,Washington,1500 Pennsylvania Ave SE #201
"1309 E St   SE #7 Washington, DC 20003","$5,490/mo",4bd,3.5ba,"2,256 sqft",20003,DC,Washington,1309 E St   SE #7
"432 NW 9th St Gainesville, FL 32601","$1,100/mo",2bd,1ba,546 sqft,32601,FL,Gainesville,432 NW 9th St
"2 bed, 2.5 bath, 992 sqft, $1,300 Gainesville, FL 32608","$1,300/mo",2bd,2.5ba,No Data,32608,FL,Gainesville,"2 bed, 2.5 bath, 992 sqft, $1,300"
"4330 Bylsma Cir Panama City, FL 32404","$2,100/mo",3bd,2ba,"1,835 sqft",32404,FL,Panama City,4330 Bylsma Cir
"6411 Lenawee St Callaway, FL 32404","$1,150/mo",2bd,1.5ba,"1,000 sqft",32404,FL,Callaway,6411 Lenawee St
"Address Not Disclosed Cape Canaveral, FL 32920","$1,200/mo",1bd,1ba,600 sqft,32920,FL,Cape Canaveral,Address Not Disclosed
"940 Allendale St Titusville, FL 32796","$1,740/mo",3bd,1ba,"1,066 sqft",32796,FL,Titusville,940 Allendale St
"7584 Loren Cove Dr   #7584 Melbourne, FL 32940","$3,200/mo",3bd,2ba,"2,071 sqft",32940,FL,Melbourne,7584 Loren Cove Dr   #7584
"4696 Alfred St Cocoa, FL 32927","$2,000/mo",3bd,2ba,"1,652 sqft",32927,FL,Cocoa,4696 Alfred St
